Ticker,Market,Sector,Rows,Ret_Mean%,Ret_Std%,Skewness,Kurtosis,Price_Min,Price_Max
0027.HK,China,retail,777,-0.0296,2.1047,-0.166,4.299,24.73,54.88
0700.HK,China,tech,777,0.0652,1.9442,-0.299,5.424,257.7,677.5
0728.HK,China,telecom,777,0.0474,1.5182,0.476,8.915,3.0,6.39
0762.HK,China,telecom,777,0.0584,1.895,0.348,11.504,4.03,10.29
0857.HK,China,oil_gas,777,0.136,1.8192,-0.79,8.554,4.03,11.14
0883.HK,China,oil_gas,777,0.1449,1.8291,-0.781,7.583,9.16,30.5
0941.HK,China,telecom,777,0.0518,0.9853,-0.003,4.295,51.91,88.85
1024.HK,China,software,777,0.031,3.1525,-0.005,3.721,37.9,91.85
1211.HK,China,ev,777,0.0811,2.3969,-0.128,3.824,55.76,153.37
1299.HK,China,insurance,777,0.0227,1.9668,-0.158,3.161,43.55,90.95
1398.HK,China,banking,777,0.1038,1.3467,0.075,2.735,2.87,7.03
1810.HK,China,hardware,777,0.1559,2.6078,-0.361,5.823,9.99,60.15
1928.HK,China,consumer_goods,777,-0.0295,2.3404,0.044,4.239,12.46,29.93
2015.HK,China,sportswear,777,0.015,3.4353,0.376,7.112,61.85,184.3
2313.HK,China,chemicals,777,-0.0227,2.4975,0.191,3.523,43.93,80.11
2318.HK,China,insurance,777,0.0628,2.332,0.051,5.63,26.32,73.45
2382.HK,China,electronics,777,0.0064,3.1528,-0.09,4.549,33.97,93.07
2600.HK,China,metals,777,0.1806,2.8845,-0.038,4.247,2.95,15.06
3690.HK,China,food_delivery,777,-0.0123,3.0152,0.274,3.797,62.55,213.4
3968.HK,China,banking,777,0.0677,2.0546,0.228,9.53,21.65,53.08
3988.HK,China,banking,777,0.1016,1.2713,-0.472,7.328,2.21,5.13
6618.HK,China,healthcare,777,0.0278,3.1797,-0.252,2.753,19.82,69.65
6690.HK,China,home_appliances,777,0.0154,2.1066,0.018,4.286,18.69,33.71
6862.HK,China,restaurants,777,0.0169,2.7447,0.527,5.661,10.67,20.73
9618.HK,China,ecommerce,777,0.0167,2.8301,0.193,3.596,81.58,183.67
